 Information Exposure,"myWebland myBloggie 2.1.6 allow remote attackers to obtain sensitive information via (1) an invalid year parameter to calendar.php, reached through index.php; (2) a direct request to common.php; and (3) a mode array parameter in the query string to login.php, which reveal the installation path in various error messages.",What vulnerabilities are present in myWebland myBloggie 2.1.6 that allow remote attackers to access sensitive information?
 Information Exposure,"class/page.php in Farsi Script (aka FaScript) FaName 1.0 allows remote attackers to obtain sensitive information via a '; (quote semicolon) sequence in the id parameter, which reveals the installation path in an error message.",What vulnerability does FaName 1.0 have that allows remote attackers to extract sensitive information from the installation path?
 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),SQL injection vulnerability in class/page.php in Farsi Script (aka FaScript) FaName 1.0 allows remote attackers to execute arbitrary SQL commands via the id parameter.  NOTE: this might be the same issue as CVE-2008-0328.,"What type of vulnerability is present in the Farsi Script FaName 1.0, and what parameter is exploited to execute arbitrary SQL commands?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Argument injection vulnerability in Microsoft Internet Explorer, when running on systems with SeaMonkey installed and certain URIs registered, allows remote attackers to conduct cross-browser scripting attacks and execute arbitrary commands via shell metacharacters in a mailto URI, which are inserted into the command line that is created when invoking SeaMonkey.exe, a related issue to CVE-2007-3670.","What is the nature of the argument injection vulnerability in Microsoft Internet Explorer related to SeaMonkey, and how can it be exploited by remote attackers?"
 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Directory traversal vulnerability in index.php in PHP Directory Lister (dirLIST) before 0.1.1 allows remote attackers to list the contents of a parent directory via a .. (dot dot) in the folder parameter.,What is the security risk associated with the directory traversal vulnerability in PHP Directory Lister (dirLIST) versions earlier than 0.1.1?
 Permissions Privileges and Access Controls,index.php in dirLIST before 0.1.1 allows remote attackers to list the contents of an excluded folder via a modified URL containing the folder name.,What vulnerability was discovered in index.php of dirLIST versions prior to 0.1.1 that allows remote attackers to access excluded folder contents?
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Argument injection vulnerability involving Mozilla, when certain URIs are registered, allows remote attackers to conduct cross-browser scripting attacks and execute arbitrary commands via shell metacharacters in an unspecified URI, which are inserted into the command line when invoking the handling process, a similar issue to CVE-2007-3670.","What is the nature of the argument injection vulnerability associated with Mozilla, and how does it potentially allow remote attackers to conduct cross-browser scripting attacks?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Argument injection vulnerability involving Microsoft Outlook and Outlook Express, when certain URIs are registered, allows remote attackers to conduct cross-browser scripting attacks and execute arbitrary commands via shell metacharacters in an unspecified URI, which are inserted into the command line when invoking the handling process, a similar issue to CVE-2007-3670.","What are the potential risks associated with the argument injection vulnerability found in Microsoft Outlook and Outlook Express, and how is it similar to CVE-2007-3670?"
 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),"Multiple argument injection vulnerabilities in Mozilla Firefox 2.0.0.5 and 3.0alpha allow remote attackers to execute arbitrary commands via a NULL byte (%00) and shell metacharacters in a (1) mailto, (2) nntp, (3) news, (4) snews, or (5) telnet URI, a similar issue to CVE-2007-3670.",What security vulnerabilities were identified in Mozilla Firefox versions 2.0.0.5 and 3.0alpha that allowed remote attackers to execute arbitrary commands?
 Improper Authentication,"file.cgi in Secure Computing SecurityReporter (aka Network Security Analyzer) before 4.6.3 allows remote attackers to bypass authentication via a name parameter ending with a ""%00.gif"" sequence. NOTE: a separate traversal vulnerability could be leveraged to download arbitrary files.","What vulnerability in the Secure Computing SecurityReporter versions before 4.6.3 allows remote attackers to bypass authentication, and what additional threat could be exploited in conjunction with this issue?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"dialog.php in CONTENTCustomizer 3.1mp and earlier allows remote attackers to perform certain privileged actions via a (1) del, (2) delbackup, (3) res, or (4) ren action.  NOTE: this issue can be leveraged to conduct cross-site scripting (XSS) and possibly other attacks.","What security vulnerabilities are associated with dialog.php in CONTENTCustomizer 3.1mp and earlier, and what potential attacks can they facilitate?"
 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Directory traversal vulnerability in OpenBase 10.0.5 and earlier allows remote authenticated users to create files with arbitrary contents via a .. (dot dot) in the first argument to the GlobalLog stored procedure.  NOTE: this can be leveraged to execute arbitrary code using CVE-2007-5926.,"What security issue is associated with OpenBase versions 10.0.5 and earlier, and how can it be exploited by remote authenticated users?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in buscador.php in JLMForo System allows remote attackers to inject arbitrary web script or HTML via the clave parameter.  NOTE: the provenance of this information is unknown; the details are obtained solely from third party information.,"What type of vulnerability does buscador.php in JLMForo System have, and how can it be exploited?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in SolutionSearch.do in ManageEngine ServiceDesk Plus 7.0.0 Build 7011 for Windows allows remote attackers to inject arbitrary web script or HTML via the searchText parameter.  NOTE: the provenance of this information is unknown; the details are obtained solely from third party information.,"What is the nature of the Cross-site scripting (XSS) vulnerability found in ManageEngine ServiceDesk Plus 7.0.0 Build 7011 for Windows, and which parameter is affected?"
 Improper Control of Generation of Code ('Code Injection'),Multiple PHP remote file inclusion vulnerabilities in ooComments 1.0 allow remote attackers to execute arbitrary PHP code via a URL in the PathToComment parameter for (1) classes/class_admin.php and (2) classes/class_comments.php.  NOTE: the provenance of this information is unknown; the details are obtained solely from third party information.,What are the specific files in ooComments 1.0 that are affected by the PHP remote file inclusion vulnerabilities?
 Improper Input Validation,"Unspecified vulnerability in Century routers allows remote attackers to cause a denial of service (dropped session) via crafted BGP UPDATE messages, leading to route flapping, possibly a related issue to CVE-2007-6372.","What type of vulnerability exists in Century routers that allows remote attackers to cause a denial of service, and how does it potentially relate to CVE-2007-6372?"
 Improper Input Validation,"Unspecified vulnerability in Yamaha routers allows remote attackers to cause a denial of service (dropped session) via crafted BGP UPDATE messages, leading to route flapping, possibly a related issue to CVE-2007-6372.","What is the nature of the vulnerability in Yamaha routers that can be exploited by remote attackers, and how does it relate to CVE-2007-6372?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in Runesoft Cerberus CMS before 3_1.4_0.9 allows remote attackers to inject arbitrary web script or HTML via a cerberus_user cookie.,"What are the implications of the Cross-site scripting (XSS) vulnerability found in Runesoft Cerberus CMS versions prior to 3_1.4_0.9, specifically in relation to the cerberus_user cookie?"
 Improper Authentication,Session fixation vulnerability in SpaceTag LacoodaST 2.1.3 and earlier allows remote attackers to hijack web sessions via unspecified vectors.,What is the nature of the session fixation vulnerability found in SpaceTag LacoodaST 2.1.3 and earlier versions?
 Information Exposure,"Microsoft Bitlocker in Windows Vista before SP1 stores pre-boot authentication passwords in the BIOS Keyboard buffer and does not clear this buffer during boot, which allows local users to obtain sensitive information by reading the physical memory locations associated with this buffer. Upgrade to Vista Service Pack 1","What vulnerability does Microsoft Bitlocker in Windows Vista before SP1 have regarding the storage of pre-boot authentication passwords, and how can it be mitigated?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in DIC shop_v50 3.0 and earlier and shop_v52 2.0 and earlier allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,What are the potential risks associated with the cross-site scripting (XSS) vulnerability found in DIC shop_v50 3.0 and earlier and shop_v52 2.0 and earlier versions?
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Multiple cross-site scripting (XSS) vulnerabilities in Open Media Collectors Database (OpenDb) 1.0.6 allow remote attackers to inject arbitrary web script or HTML via the (1) user_id parameter in an edit action to user_admin.php, the (2) title parameter to listings.php, and the (3) redirect_url parameter to user_profile.php.",What are the specific parameters in Open Media Collectors Database (OpenDb) 1.0.6 that are vulnerable to cross-site scripting (XSS) attacks?
 Cross-Site Request Forgery (CSRF),Cross-site request forgery (CSRF) vulnerability in user_admin.php in Open Media Collectors Database (OpenDb) 1.0.6 allows remote attackers to change arbitrary passwords via an update_password action.,"What vulnerability exists in Open Media Collectors Database (OpenDb) 1.0.6 that allows remote attackers to change passwords, and what is the affected file?"
 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Directory traversal vulnerability in the web interface in AVTECH PageR Enterprise before 5.0.7 allows remote attackers to read arbitrary files via directory traversal sequences in the URI.,What is the nature of the directory traversal vulnerability in AVTECH PageR Enterprise versions prior to 5.0.7?
 Information Exposure,"An attacker can identify a CISCO device by sending a SYN packet to port 1999, which is for the Cisco Discovery Protocol (CDP). Please see the following link for more information:

http://seclists.org/bugtraq/1999/Jan/0215.html","What type of packet can an attacker send to identify a CISCO device, and which port is used for this process?"
 Improper Control of Generation of Code ('Code Injection'),"Bajie HTTP JServer 0.78, and other versions before 0.80, allows remote attackers to execute arbitrary commands via shell metacharacters in an HTTP request for a CGI program that does not exist.","What vulnerability is present in Bajie HTTP JServer versions 0.78 and earlier, and how can remote attackers exploit it?"
 Improper Control of Generation of Code ('Code Injection'),"UploadServlet in Bajie HTTP JServer 0.78, and possibly other versions before 0.80, allows remote attackers to execute arbitrary commands by calling the servlet to upload a program, then using a ... (modified ..) to access the file that was created for the program.",What vulnerability does UploadServlet in Bajie HTTP JServer 0.78 have that allows remote attackers to execute arbitrary commands?
 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Multiple SQL injection vulnerabilities in CARE 2002 before beta 1.0.02 allow remote attackers to perform unauthorized database operations.,"What are the implications of the SQL injection vulnerabilities found in CARE 2002 before beta 1.0.02, and how can remote attackers exploit them?"
 Permissions Privileges and Access Controls,"MidiCart PHP, PHP Plus, and PHP Maxi allows remote attackers to (1) upload arbitrary php files via a direct request to admin/upload.php or (2) access sensitive information via a direct request to admin/credit_card_info.php.","What vulnerabilities are present in MidiCart PHP, PHP Plus, and PHP Maxi that allow remote attackers to exploit the system?"
 Improper Input Validation,"astrocam.cgi in AstroCam 0.9-1-1 through 1.4.0 allows remote attackers to execute arbitrary commands via shell metacharacters in an HTTP request.  NOTE: earlier disclosures stated that the affected versions were 1.7.1 through 2.1.2, but the vendor explicitly stated that these were incorrect.",What security vulnerability exists in AstroCam versions 0.9-1-1 through 1.4.0 that could allow remote attackers to execute arbitrary commands?
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Cross-site scripting (XSS) vulnerability in kmMail 1.0, 1.0a, and 1.0b allows remote attackers to inject arbitrary web script or HTML via (1) javascript in onmouseover or other attributes in ""safe"" HTML tags such as the ""b"" tag, or (2) the Subject field.","What types of attributes in kmMail versions 1.0, 1.0a, and 1.0b are vulnerable to cross-site scripting (XSS) injection, and how can attackers exploit this vulnerability?"
 Improper Restriction of Operations within the Bounds of a Memory Buffer,"Samba before 2.2.5 does not properly terminate the enum_csc_policy data structure, which may allow remote attackers to execute arbitrary code via a buffer overflow attack.",What vulnerabilities are associated with Samba versions prior to 2.2.5 that may permit remote attackers to execute arbitrary code?
 Improper Input Validation,"MailScanner before 4.0 5-1 and before 3.2 6-1 allows remote attackers to bypass protection via attachments with a filename with (1) extra leading spaces, (2) extra trailing spaces, or (3) alternate character encodings that cannot be processed by MailScanner.",What vulnerabilities were found in MailScanner versions prior to 4.0 5-1 and 3.2 6-1 that could allow remote attackers to bypass protection mechanisms?
 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Directory traversal vulnerability in Sapio Design Ltd. WebReflex 1.53 allows remote attackers to read arbitrary files via a .. in an HTTP request.,"What is the nature of the vulnerability found in Sapio Design Ltd. WebReflex 1.53, and how can remote attackers exploit it?"
 Improper Restriction of Operations within the Bounds of a Memory Buffer,Buffer overflow in Enceladus Server Suite 3.9 allows remote attackers to execute arbitrary code via a long CD (CWD) command.,What vulnerability was identified in Enceladus Server Suite 3.9 that permits remote attackers to execute arbitrary code?
 Configuration,NetScreen ScreenOS before 4.0.1 allows remote attackers to bypass the Malicious-URL blocking feature by splitting the URL into fragmented IP requests.,What vulnerability exists in NetScreen ScreenOS versions prior to 4.0.1 that allows attackers to bypass the Malicious-URL blocking feature?
 Numeric Errors,"member2.php in vBulletin 2.2.9 and earlier does not properly restrict the $perpage variable to be an integer, which causes an error message to be reflected back to the user without quoting, which facilitates cross-site scripting (XSS) and possibly other attacks.",What vulnerability in member2.php of vBulletin 2.2.9 and earlier versions allows for cross-site scripting (XSS) attacks due to improper handling of the $perpage variable?
 Improper Input Validation,Format string vulnerability in the awp_log function in apt-www-proxy 0.1 allows remote attackers to execute arbitrary code.,What is the impact of the format string vulnerability in the awp_log function found in apt-www-proxy 0.1?
 Numeric Errors,"ftpd in NetBSD 1.5 through 1.5.3 and 1.6 does not properly quote a digit in response to a STAT command for a filename that contains a carriage return followed by a digit, which can cause firewalls and other intermediary devices to lose proper track of the FTP session.",What is the impact of the quoting issue in the ftpd command in NetBSD versions 1.5 through 1.6 when responding to a STAT command for filenames with a carriage return followed by a digit?
 Resource Management Errors,"php.exe in PHP 3.0 through 4.2.2, when running on Apache, does not terminate properly, which allows remote attackers to cause a denial of service via a direct request without arguments.",What vulnerability in php.exe from PHP versions 3.0 through 4.2.2 allows remote attackers to cause a denial of service on Apache servers?
 Credentials Management,"ClickCartPro 4.0 stores the admin_user.db data file under the web document root with insufficient access control on servers other than Apache, which allows remote attackers to obtain usernames and passwords.",What security vulnerability is associated with ClickCartPro 4.0 regarding the admin_user.db data file?
 Permissions Privileges and Access Controls,Microsoft Internet Explorer 6.0 and possibly others allows remote attackers to upload arbitrary file contents when users press a key corresponding to the JavaScript (1) event.ctrlKey or (2) event.shiftKey onkeydown event contained in a webpage.  NOTE: it was reported that the vendor has disputed the severity of this issue.,What vulnerability is present in Microsoft Internet Explorer 6.0 that allows remote attackers to upload arbitrary file contents when specific key combinations are pressed?
 Improper Input Validation,"Mozilla 1.0 allows remote attackers to steal cookies from other domains via a javascript: URL with a leading ""//"" and ending in a newline, which causes the host/path check to fail.",What vulnerability in Mozilla 1.0 allows remote attackers to steal cookies from other domains using a specific format in javascript: URLs?
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Cross-site scripting (XSS) vulnerability in Falcon web server 2.0.0.1009 through 2.0.0.1021 allows remote attackers to inject arbitrary web script or HTML via the URI, which is inserted into 301 error messages and executed by 404 error messages.","What is the nature of the Cross-site scripting (XSS) vulnerability found in Falcon web server versions 2.0.0.1009 to 2.0.0.1021, and how do remote attackers exploit it?"
 Improper Control of Generation of Code ('Code Injection'),"Static code injection vulnerability in users.php in MySimpleNews allows remote attackers to inject arbitrary PHP code and HTML via the (1) LOGIN, (2) DATA, and (3) MESS parameters, which are inserted into news.php3.","What are the parameters in MySimpleNews's users.php that are vulnerable to static code injection, and what types of code can remote attackers inject?"
 Permissions Privileges and Access Controls,MySimpleNews 1.0 allows remote attackers to delete arbitrary email messages via a direct request to vider.php3.,What vulnerability in MySimpleNews 1.0 allows remote attackers to delete email messages?
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in (1) showcat.php and (2) addyoursite.php in phpLinkat 0.1.0 allows remote attackers to inject arbitrary web script or HTML via the catid parameter.,"What is the nature of the vulnerability found in phpLinkat 0.1.0, specifically in the files showcat.php and addyoursite.php?"
 Improper Input Validation,"Ultimate PHP Board (UPB) 1.0b stores the users.dat data file under the web root with insufficient access control, which allows remote attackers to obtain usernames and passwords.",What vulnerabilities does Ultimate PHP Board (UPB) 1.0b have regarding the storage of the users.dat data file?
 Improper Link Resolution Before File Access ('Link Following'),"Sun PC NetLink 1.0 through 1.2 does not properly set the access control list (ACL) for files and directories that use symbolic links and have been restored from backup, which could allow local or remote attackers to bypass intended access restrictions.",What vulnerability exists in Sun PC NetLink versions 1.0 through 1.2 regarding access control for files and directories restored from backup?
 Permissions Privileges and Access Controls,"The ""System Restore"" directory and subdirectories, and possibly other subdirectories in the ""System Volume Information"" directory on Windows XP Professional, have insecure access control list (ACL) permissions, which allows local users to access restricted files and modify registry settings.","What security risks are associated with the ""System Restore"" directory and ""System Volume Information"" directory on Windows XP Professional due to improper ACL permissions?"
 Improper Input Validation,"The c-client library in Internet Message Access Protocol (IMAP) dated before 2002 RC2, as used by Pine 4.20 through 4.44, allows remote attackers to cause a denial of service (client crash) via a MIME-encoded email with Content-Type header containing an empty boundary field.","What vulnerability in the c-client library of IMAP, as used by Pine versions 4.20 through 4.44, allows remote attackers to cause a client crash?"
 Cryptographic Issues,"The default configuration of Mail.app in Mac OS X 10.0 through 10.0.4 and 10.1 through 10.1.5 sends iDisk authentication credentials in cleartext when connecting to Mac.com, which could allow remote attackers to obtain passwords by sniffing network traffic.",What security risk is associated with the default configuration of Mail.app in Mac OS X versions 10.0 through 10.1.5 regarding iDisk authentication credentials?
 Improper Input Validation,"ICQ client 2001b, 2002a and 2002b allows remote attackers to cause a denial of service (CPU consumption or crash) via a message with a large number of emoticons.","What vulnerabilities in the ICQ client versions 2001b, 2002a, and 2002b can remote attackers exploit to cause denial of service?"
 Configuration,"W3Mail 1.0.2 through 1.0.5 with server side scripting (SSI) enabled in the attachments directory does not properly restrict the types of files that can be uploaded as attachments, which allows remote attackers to execute arbitrary code by sending code in MIME attachments, then requesting the attachments.","What vulnerability exists in W3Mail versions 1.0.2 to 1.0.5 related to file uploads, and how can it be exploited by remote attackers?"
 Improper Restriction of Operations within the Bounds of a Memory Buffer,Buffer overflow in Opera 6.01 allows remote attackers to cause a denial of service (crash) via an IMG tag with large width and height attributes.,What vulnerability was discovered in Opera 6.01 that could allow remote attackers to cause a denial of service?
 Improper Restriction of Operations within the Bounds of a Memory Buffer,Buffer overflow in konqueror in KDE 2.1 through 3.0 and 3.0.2 allows remote attackers to cause a denial of service (crash) via an IMG tag with large width and height attributes.,What vulnerability exists in Konqueror versions 2.1 through 3.0.2 that allows remote attackers to cause a denial of service?
 Permissions Privileges and Access Controls,"Joe text editor 2.8 through 2.9.7 does not remove the group and user setuid bits for backup files, which could allow local users to execute arbitrary setuid and setgid root programs when root edits scripts owned by other users.",What security vulnerability is associated with Joe text editor versions 2.8 through 2.9.7 regarding backup files?
 Configuration,"Killer Protection 1.0 stores the vars.inc include file under the web root with insufficient access control, which allows remote attackers to obtain user names and passwords and log in using protection.php.","What security vulnerability does Killer Protection 1.0 have regarding the vars.inc include file, and what are the potential consequences for remote attackers?"
 Configuration,"Norton Personal Firewall 2002 4.0, when configured to automatically block attacks, allows remote attackers to block IP addresses and cause a denial of service via spoofed packets.",What vulnerability in Norton Personal Firewall 2002 4.0 allows remote attackers to cause a denial of service by blocking IP addresses using spoofed packets?
 Improper Input Validation,"The POP3 mail client in Mozilla 1.0 and earlier, and Netscape Communicator 4.7 and earlier, allows remote attackers to cause a denial of service (no new mail) via a mail message containing a dot (.) at a newline, which is interpreted as the end of the message.",What vulnerability in the POP3 mail clients of Mozilla 1.0 and Netscape Communicator 4.7 and earlier can be exploited by remote attackers to cause a denial of service?
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Cross-site scripting (XSS) vulnerability in configure.asp in Script-Shed GuestBook 1.0 allows remote attackers to inject arbitrary web script or HTML via a javascript: URL in (1) image, (2) img, (3) image=right, (4) img=right, (5) image=left, and (6) img=left tags.","What is the nature of the XSS vulnerability found in configure.asp of Script-Shed GuestBook 1.0, and how can it be exploited by remote attackers?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in content blocking in SonicWALL SOHO3 6.3.0.0 allows remote attackers to inject arbitrary web script or HTML via a blocked URL.,"What is the nature of the cross-site scripting (XSS) vulnerability found in SonicWALL SOHO3 6.3.0.0, and how can it be exploited by remote attackers?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in NOCC 0.9 through 0.9.5 allows remote attackers to inject arbitrary web script or HTML via email messages.,"What is the nature of the vulnerability found in NOCC versions 0.9 through 0.9.5, and how can it be exploited by attackers?"
 Permissions Privileges and Access Controls,Ensim WEBppliance 3.0 and 3.1 allows remote attackers to read mail intended for other users by defining an alias that is the target's email address.,What vulnerability in Ensim WEBppliance 3.0 and 3.1 allows remote attackers to read the email of other users?
 Credentials Management,"Oracle 9i Application Server 9.0.2 stores the web cache administrator interface password in plaintext, which allows remote attackers to gain access.",What security vulnerability was identified in Oracle 9i Application Server 9.0.2 regarding the web cache administrator interface?
 Information Exposure,"phpBB 2.0 through 2.0.3 generates names for uploaded avatar files with the hex-encoded IP address of the client system, which allows remote attackers to obtain client IP addresses.","What vulnerability exists in phpBB versions 2.0 to 2.0.3 regarding how uploaded avatar files are named, and what information can remote attackers potentially obtain from this?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Cross-site scripting (XSS) vulnerability in Oracle Java Server Page (OJSP) demo files (1) hellouser.jsp, (2) welcomeuser.jsp and (3) usebean.jsp in Oracle 9i Application Server 9.0.2, 1.0.2.2, 1.0.2.1s and 1.0.2 allows remote attackers to inject arbitrary web script or HTML via the text entry field.","What is the nature of the cross-site scripting (XSS) vulnerability found in Oracle Java Server Page (OJSP) demo files, and which specific files are affected?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in athcgi.exe in Authoria HR allows remote attackers to inject arbitrary web script or HTML via the command parameter.,"What is the nature of the vulnerability found in athcgi.exe in Authoria HR, and how can it be exploited by remote attackers?"
 Information Exposure,"phpinfo.php in phpBBmod 1.3.3 executes the phpinfo function, which allows remote attackers to obtain sensitive environment information.","What vulnerability is associated with phpinfo.php in phpBBmod 1.3.3, and what type of information can remote attackers retrieve through it?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in z_user_show.php in dbtreelistproperty_method.php in Zorum 2.4 allows remote attackers to inject arbitrary web script or HTML via the class parameter.,"What is the nature of the XSS vulnerability found in Zorum 2.4, specifically in the z_user_show.php file?"
 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"Eudora 5.1 allows remote attackers to bypass security warnings and possibly execute arbitrary code via attachments with names containing a trailing ""."" (dot).",What security vulnerability is present in Eudora 5.1 that allows remote attackers to potentially execute arbitrary code?
 Improper Input Validation,Netgear FM114P firmware 1.3 wireless firewall allows remote attackers to cause a denial of service (crash or hang) via a large number of TCP connection requests.,What vulnerabilities does the Netgear FM114P firmware 1.3 wireless firewall have that can be exploited by remote attackers?
 Credentials Management,"Netgear FM114P firmware 1.3 wireless firewall, when configured to backup configuration information, stores DDNS (DynDNS) user name and password, MAC address filtering table and possibly other information in cleartext, which could allow local users to obtain sensitive information.","What are the security implications of the Netgear FM114P firmware 1.3 storing sensitive configuration information, such as DDNS user credentials and MAC address filtering tables, in cleartext?"
